Match,Home,Away,Odds1,OddsX,Odds2,Folk1,FolkX,Folk2,League,Round,AI_Sim1,AI_SimX,AI_Sim2,xG_For,xG_Against,xG_Diff,HomeForm,AwayForm
1,Hull,Aston Villa,"3,85","3,55","1,92",52,22,26,Premier League,4969,,,,,,,,
2,Brighton,Leeds,"1,80","3,65","4,25",49,26,25,Premier League,4969,,,,,,,,
3,Fulham,Crystal Palace,"2,38","3,35","2,90",44,25,31,Premier League,4969,,,,,,,,
4,Manchester City,Coventry,"1,19","7,00","12,50",49,24,27,Premier League,4969,,,,,,,,
5,Nottingham,Tottenham,"2,65","3,15","2,65",42,28,30,Premier League,4969,,,,,,,,
6,Brentford,Sunderland,"1,63","3,85","5,25",49,23,28,Premier League,4969,,,,,,,,
7,Burnley,Bristol City,"1,87","3,70","4,30",44,26,30,Championship,4969,,,,,,,,
8,Millwall,Bolton,"1,57","4,10","6,50",47,26,27,Championship,4969,,,,,,,,
9,Portsmouth,Cardiff,"2,55","3,40","2,88",44,25,31,Championship,4969,,,,,,,,
10,Queens Park Rangers,Middlesbrough,"3,50","3,45","2,16",44,26,30,Championship,4969,,,,,,,,
11,Sheffield U,Norwich,"2,30","3,50","3,15",44,26,30,Championship,4969,,,,,,,,
12,West Bromwich,Watford,"2,06","3,45","3,80",46,26,28,Championship,4969,,,,,,,,
13,Swansea,Wrexham,"2,60","3,35","2,85",45,28,27,Championship,4969,,,,,,,,
